id;name_rus;element_number;element_name;info;base_value;multiplayer;grade_of_execution;scores_of_panel;rank;total_segment_score;total_element_score;total_component_score;total_deductions;type
id84;Артур ДАНИЕЛЯН;3;FSSp4;;3.0;;0.34;3.34;14;74.65;35.04;40.61;-1;sp
id84;Артур ДАНИЕЛЯН;4;3Lz+3T<;<;10.19;x;-1.01;9.18;14;74.65;35.04;40.61;-1;sp
id84;Артур ДАНИЕЛЯН;5;StSq2;;2.6;;0.59;3.19;14;74.65;35.04;40.61;-1;sp
id84;Артур ДАНИЕЛЯН;6;CCSp4;;3.2;;0.46;3.66;14;74.65;35.04;40.61;-1;sp
id84;Артур ДАНИЕЛЯН;7;CCoSp4;;3.5;;0.4;3.9;14;74.65;35.04;40.61;-1;sp
id82;Владислав КАТИЧЕВ;1;3A;;8.0;;1.37;9.37;15;74.38;37.71;36.67;0;sp
id82;Владислав КАТИЧЕВ;2;3Lz+3T;;10.1;;-0.67;9.43;15;74.38;37.71;36.67;0;sp
id82;Владислав КАТИЧЕВ;3;FCSp3;;2.8;;0.28;3.08;15;74.38;37.71;36.67;0;sp
id82;Владислав КАТИЧЕВ;4;StSq2;;2.6;;0.19;2.79;15;74.38;37.71;36.67;0;sp
id82;Владислав КАТИЧЕВ;5;CSSp4;;3.0;;-0.04;2.96;15;74.38;37.71;36.67;0;sp
id82;Владислав КАТИЧЕВ;6;3Lo;;5.39;x;0.49;5.88;15;74.38;37.71;36.67;0;sp
id82;Владислав КАТИЧЕВ;7;CCoSp4;;3.5;;0.7;4.2;15;74.38;37.71;36.67;0;sp
id73;Андрей АНИСИМОВ;1;3F!;!;5.3;;-0.08;5.22;16;73.69;35.45;38.24;0;sp
id73;Андрей АНИСИМОВ;2;4S+3T;;13.9;;1.94;15.84;16;73.69;35.45;38.24;0;sp
id73;Андрей АНИСИМОВ;3;CSSp4;;3.0;;0.51;3.51;16;73.69;35.45;38.24;0;sp
id73;Андрей АНИСИМОВ;4;1A*;*;0.0;x;0.0;0.0;16;73.69;35.45;38.24;0;sp
id73;Андрей АНИСИМОВ;5;FCSp4;;3.2;;0.5;3.7;16;73.69;35.45;38.24;0;sp
id73;Андрей АНИСИМОВ;6;StSq2;;2.6;;0.48;3.08;16;73.69;35.45;38.24;0;sp
id73;Андрей АНИСИМОВ;7;CCoSp4;;3.5;;0.6;4.1;16;73.69;35.45;38.24;0;sp
id81;Роман АТОЯР;1;4S<;<;7.76;;-2.55;5.21;17;73.48;36.43;38.05;-1;sp
id81;Роман АТОЯР;2;3A;;8.0;;-2.63;5.37;17;73.48;36.43;38.05;-1;sp
id81;Роман АТОЯР;3;FCSp4;;3.2;;0.5;3.7;17;73.48;36.43;38.05;-1;sp
id81;Роман АТОЯР;4;3Lz+3T;;11.11;x;0.84;11.95;17;73.48;36.43;38.05;-1;sp
id81;Роман АТОЯР;5;CCoSp3;;3.0;;0.43;3.43;17;73.48;36.43;38.05;-1;sp
id81;Роман АТОЯР;6;StSq3;;3.3;;0.42;3.72;17;73.48;36.43;38.05;-1;sp
id81;Роман АТОЯР;7;CSSp3;;2.6;;0.45;3.05;17;73.48;36.43;38.05;-1;sp
